"emp_id","password","role","role_id"
"9","1","supplier","9"
"administration","1","Administration","1"
"6","1","vehicle order summar","6"
"5","1","security","5"
"stores","1","stores","11"
"quality","1","quality","22"
"purchase","1","purchase","12"
"3","1","sales order summary","3"
"production","1","Production","2"
"ceo","1","CEO","7"
"maintenance","1","Maintenance","16"
"10","1","vehicle in process","4"
"11","1","specifications","10"
"15","1","Shopping","15"
"16","1","quality testing","16"
"0","0","testfile","0"
